response_id,participant_id,claim_id,evidence
0,0,1,NA
1,0,3,NA
2,0,5,NA
3,0,6,voice 
4,0,8,trees no damaged 
5,0,11,NA
6,0,13,NA
7,0,15,NA
8,1,0,"I can't understand the language, but the video doesn't show context or actual dispersion or aggression by soldiers. It could be a post-sports match event. The manipulation would be in the editing/shot composition."
9,1,3,NA
10,1,4,Pyramids of Egypt or Mexico? The description doesn't match what the on-screen narrator is saying.
11,1,6,"Audio overdubbed and doesn't match the video context. Beyonce wouldn't be that ""off"" on the national anthem."
12,1,8,"Naples Florida, not Naples Italy - description is wrong."
13,1,11,NA
14,1,13,NA
15,1,15,NA
16,2,1,NA
17,2,3,NA
18,2,4,Pyramids of Egypt -1 hour from Mexico City! Doesn't make sense to me. Neither does the background show me anything that I usually see in the pictures shot in Egypt.
19,2,6,Hilarious!
20,2,8,"The lips didn't really synced with the words of the reporter. Maybe it was because of a bad recording, but I am not really sure of the authenticity of this video."
21,2,10,"Sounds like a planned speech. Had it been a improptu talk, it wouldn't have been so smooth while the tornado is approaching you"
22,2,12,Looks like there has been a voice-over. There were some bits of language which sounded incorrect.
23,2,15,NA
24,3,0,NA
25,3,3,NA
26,3,4,The metadata says it is the pyramids in Egypt not Mexico
27,3,6,It is a voice over and not Beyonce's voice
28,3,8,The video says Naples Italy not Florida 
29,3,10,The video says it is from a hurricane
30,3,13,NA
31,3,15,NA
32,4,1,NA
33,4,3,NA
34,4,4,Because the components of them traveling did not have them in it.
35,4,6,That is not Beyonce's voice. 
36,4,8,Damage seems to be man-made and not hurricane made.
37,4,11,NA
38,4,13,NA
39,4,15,NA
40,5,0,2 different situations 
41,5,2,Video is in Africa
42,5,4,"The video is in Mexico, but the description says Egypt "
43,5,6,"Super fake, that is not Beyoncé’s voice "
44,5,8,"Naples, Florida not in Italy"
45,5,11,NA
46,5,13,NA
47,5,15,NA
48,6,0,Location is not mentioned. Further the video doesnt show what it claims.
49,6,2,the location is not mentioned in the metadata. Where have the archeologists found the remains? Rome or somewhere in Africa?
50,6,4,The presenter talks about a city in central mexico whereas the description mentions pyramids in Egypt
51,6,7,NA
52,6,8,"The news video writes it as ""Hurricane...batters Florida"", whereas the news reader is talking about destruction in Naples, italy which is thousands of miles away from Florida. Also the location in the metadata is missing which casts further doubt."
53,6,10,The video description is inconsistent with what the video claims. Seems manipulated.
54,6,13,NA
55,6,15,NA
56,7,1,NA
57,7,2,"The pyramids are not in Rome, as in the title."
58,7,4,"The title and description both say pyramids in Egypt, while he says Mexico City."
59,7,6,Beyonce doesn't typically sound like a dying seal. 
60,7,8,"Naples, Italy is listed in the title and description."
61,7,10,"CNN Asia was reporting on Hurricane Irma, which affected the Americas, and the video was dated 2014, 3 years before the event. "
62,7,13,NA
63,7,14,Date is the day before RD. 
64,8,1,NA
65,8,2,it happens in Egypt but metadata says Rome
66,8,4,it says it happens in mexico but it is written it is in Egypt
67,8,6,the audio does not match the video
68,8,9,NA
69,8,10,wrong metadata
70,8,12,he is americain
71,8,15,NA
72,9,0,The video before 20s and that after 20s look different
73,9,2,"The video is on Egypt, while the title below is about Rome"
74,9,4,"The man  in the video says middle mexico, while the video title shows Egypt "
75,9,7,NA
76,9,8,"The video is about Florida, while the title below is on Italy "
